country_code,mkpl_doctor_id,main_specialization,main_specialization_type,doctor_city,doctor_district,mkpl_calendar_id,insurance_name,weeks_ahead,wp_minutes_per_week
de,"396,026",alternative medicine,paramedical,Starnberg,,"9,825",Privat versichert,24,120
de,"396,060",general medicine,medical,Karlsruhe,,"5,773",Gesetzlich versichert,4,"2,400"
de,"396,060",general medicine,medical,Karlsruhe,,"5,773",Privat versichert,4,"2,400"
de,"396,075",dermatology and venereology,medical,Hamburg,,"8,835",Gesetzlich versichert,4,450
de,"396,075",dermatology and venereology,medical,Hamburg,,"8,835",Privat versichert,4,450
de,"396,079",dentistry,medical,Hannover,Kirchrode,"3,877",Gesetzlich versichert,25,"3,870"
de,"396,079",dentistry,medical,Hannover,Kirchrode,"3,877",Privat versichert,25,"3,870"
de,"396,133",alternative medicine,paramedical,Essen,Stadtbezirke Ix,"10,916",Gesetzlich versichert,4,180
de,"396,133",alternative medicine,paramedical,Essen,Stadtbezirke Ix,"10,916",Privat versichert,4,180
de,"396,169",dentistry,medical,Unterschleißheim,Lohhof,"4,339",Gesetzlich versichert,12,"1,890"
de,"396,169",dentistry,medical,Unterschleißheim,Lohhof,"4,339",Privat versichert,12,"1,890"
de,"396,322",alternative medicine,paramedical,Marbach am Neckar,,"8,387",Gesetzlich versichert,4,"1,650"
de,"396,322",alternative medicine,paramedical,Marbach am Neckar,,"8,387",Privat versichert,4,"1,650"
de,"396,459",dentistry,medical,Unterschleißheim,Lohhof,"4,350",Gesetzlich versichert,12,"2,340"
de,"396,459",dentistry,medical,Unterschleißheim,Lohhof,"4,350",Privat versichert,12,"2,340"
de,"396,601",trauma and orthopaedic surgery,medical,Meerbusch,Ilverich,"13,572",Gesetzlich versichert,4,120
de,"396,601",trauma and orthopaedic surgery,medical,Meerbusch,Ilverich,"13,572",Privat versichert,4,120
de,"396,601",trauma and orthopaedic surgery,medical,,,"13,573",Gesetzlich versichert,12,"2,100"
de,"396,601",trauma and orthopaedic surgery,medical,,,"13,573",Privat versichert,12,"2,100"
de,"396,787",alternative medicine,paramedical,Berlin,Bezirk Tempelhof-Schöneberg,"9,480",Gesetzlich versichert,24,"1,210"
de,"396,787",alternative medicine,paramedical,Berlin,Bezirk Tempelhof-Schöneberg,"9,480",Privat versichert,24,"1,210"
de,"397,106",general surgery,medical,Mönchengladbach,Nord,"7,652",Gesetzlich versichert,24,60
de,"397,106",general surgery,medical,Mönchengladbach,Nord,"7,652",Privat versichert,24,60
de,"397,171",alternative medicine,paramedical,Bergheim,Quadrath-Ichendorf,"11,940",Gesetzlich versichert,4,390
de,"397,171",alternative medicine,paramedical,Bergheim,Quadrath-Ichendorf,"11,940",Privat versichert,4,390
de,"397,215",obsterics and gynaecology,medical,Köln,Innenstadt,"8,702",Gesetzlich versichert,4,720
de,"397,215",obsterics and gynaecology,medical,Köln,Innenstadt,"8,702",Privat versichert,4,720
de,"397,277",dentistry,medical,Hückeswagen,,"5,089",Gesetzlich versichert,4,"1,320"
de,"397,277",dentistry,medical,Hückeswagen,,"5,089",Privat versichert,4,"1,320"
de,"397,335",psychology,medical,München,Neuhausen-Nymphenburg,"12,145",Gesetzlich versichert,4,1
de,"397,335",psychology,medical,München,Neuhausen-Nymphenburg,"12,145",Privat versichert,4,1
de,"397,382",alternative medicine,paramedical,Hamm,,"8,567",Gesetzlich versichert,4,120
de,"397,382",alternative medicine,paramedical,Hamm,,"8,567",Privat versichert,4,120
de,"397,401",urology and adrology,medical,Freiburg,,"4,018",Privat versichert,24,480
de,"397,420",oral and maxillo-facial surgery,medical,Lübeck,,"5,586",Gesetzlich versichert,4,300
de,"397,420",oral and maxillo-facial surgery,medical,Lübeck,,"5,586",Privat versichert,4,300
de,"397,669",dentistry,medical,Regensburg,Ostenviertel,"5,126",Gesetzlich versichert,8,5
de,"397,669",dentistry,medical,Regensburg,Ostenviertel,"5,126",Privat versichert,8,5
de,"397,747",psychology,medical,München,Ludwigsvorstadt-Isarvorstadt,"13,903",Privat versichert,4,330
de,"397,757",alternative medicine,paramedical,,,"9,847",Gesetzlich versichert,4,440
