country_code,mkpl_doctor_id,mkpl_calendar_id,insurance_name,wp_minutes
de,"410,911","9,645",Privat versichert,"1,730"
de,"429,059","11,005",Privat versichert,"3,000"
de,"229,766","11,333",Gesetzlich versichert,"1,855"
de,"229,766","11,333",Privat versichert,"1,855"
de,246,"11,455",Privat versichert,"2,700"
de,"431,546","11,491",Privat versichert,750
de,"243,250","11,677",Privat versichert,"3,600"
de,"384,776","11,960",Gesetzlich versichert,"1,735"
de,"384,776","11,960",Privat versichert,"1,735"
de,"343,105","13,765",Privat versichert,390
de,"343,105","13,765",Gesetzlich versichert,390
de,"451,283","14,217",Privat versichert,420
de,"453,096","14,425",Privat versichert,"2,235"
de,"427,478","14,470",Gesetzlich versichert,900
de,"427,478","14,470",Privat versichert,900
de,976,"14,606",Gesetzlich versichert,300
de,976,"14,606",Privat versichert,300
es,"115,337","56,799",Cigna Healthcare España,280
es,"115,337","56,799",Fiatc,320
es,"115,337","56,799",Mapfre,280
es,"115,337","56,799",cigna salud,320
es,"115,337","56,799",Unión Médica La Fuenciscla,320
es,"78,499","28,583",Verisalud,210
ar,"4,116","8,479",Sancor Salud,540
ar,"4,116","8,479",LUIS PASTEUR,540
ar,"4,116","8,479",Luz y Fuerza,540
ar,"4,116","8,479",Grupo san nicolas,510
ar,"4,116","8,479",SCIS,510
ar,"4,116","8,479",Medifé,510
br,"300,158","8,116",Sul América Saúde,160
br,"433,672","125,576",Canoas Prev,"1,830"
br,"154,979","22,462",Unimed,"2,310"
br,"415,032","79,716",Geap Saúde,840
br,"684,279","130,869",Unafisco Saúde,420
br,"865,876","184,784",Amil,360
de,205,217,Gesetzlich versichert,"2,160"
de,226,246,Gesetzlich versichert,190
de,372,496,Gesetzlich versichert,"1,485"
de,419,511,Gesetzlich versichert,450
de,630,840,Gesetzlich versichert,"1,185"
de,"1,654","2,137",Privat versichert,720
de,"2,322","3,057",Privat versichert,"1,410"
de,"2,407","3,079",Gesetzlich versichert,"2,760"
de,"2,407","3,079",Privat versichert,"2,760"
de,"2,613","3,425",Privat versichert,645
de,"2,613","3,432",Gesetzlich versichert,"1,290"
de,"2,714","3,634",Privat versichert,810
br,"269,775","54,287",Sul América Saúde,510
br,"269,775","54,287",Real Grandeza,510
br,"508,906","126,007",Mapfre Saúde,270
de,72,46,Privat versichert,"2,160"
de,101,190,Gesetzlich versichert,"3,300"
de,117,122,Gesetzlich versichert,840
de,321,360,Privat versichert,"2,595"
de,"1,017","1,273",Gesetzlich versichert,"3,120"
de,"1,327","1,734",Privat versichert,"2,130"
de,"358,171","4,991",Gesetzlich versichert,"3,780"
de,"346,682","4,203",Gesetzlich versichert,300
de,"1,846","2,409",Gesetzlich versichert,"3,270"
de,"2,698","3,543",Privat versichert,"1,080"
de,"2,706","3,628",Gesetzlich versichert,"1,410"
de,"172,798","7,744",Gesetzlich versichert,840
de,"239,465","12,500",Gesetzlich versichert,"1,095"
de,"315,025","8,526",Gesetzlich versichert,960
de,"331,511","10,346",Privat versichert,"1,590"
de,"334,744","3,703",Privat versichert,705
de,"370,466","8,274",Privat versichert,"1,800"
de,"335,312","8,374",Gesetzlich versichert,"1,890"
de,"319,990","8,453",Privat versichert,"2,525"
de,"294,007","9,550",Privat versichert,150
de,"296,656","11,231",Privat versichert,150
de,"437,794","12,359",Gesetzlich versichert,"1,390"
de,"437,794","12,359",Privat versichert,"1,390"
de,"439,139","12,976",Privat versichert,"2,400"
de,"366,003","9,925",Gesetzlich versichert,"1,080"
de,"348,498","3,841",Privat versichert,"3,690"
de,"350,906","11,550",Privat versichert,"1,590"
de,"358,923","7,210",Gesetzlich versichert,990
de,"379,133","5,375",Privat versichert,"1,200"
de,"391,756","14,072",Gesetzlich versichert,480
de,"365,018","6,238",Gesetzlich versichert,"2,820"
de,"409,486","8,708",Gesetzlich versichert,"1,920"
de,"413,352","10,136",Gesetzlich versichert,450
br,"305,200","23,479",SPA Saúde,"3,220"
br,"201,527","6,118",Associação Policial de Assistência à Saúde - Apas Sorocaba/Votorantim,600
br,"892,482","201,603",CABESP,960
cl,"33,127",511,Cruz Blanca,"2,520"
de,138,160,Privat versichert,"1,260"
de,185,295,Gesetzlich versichert,990
de,283,335,Privat versichert,"1,350"
de,639,839,Gesetzlich versichert,"1,245"
de,"377,112","11,367",Gesetzlich versichert,90
de,"371,924","12,974",Gesetzlich versichert,840
de,"447,839","13,906",Gesetzlich versichert,"2,640"
de,"353,843","14,178",Privat versichert,"1,080"
de,"457,777","14,643",Gesetzlich versichert,155
es,"156,518","43,317",Union Protectora,180
de,"228,886","13,628",Privat versichert,"2,550"
de,"434,955","14,411",Privat versichert,120
de,"459,028","14,723",Gesetzlich versichert,"1,110"
de,"1,193","1,576",Gesetzlich versichert,"4,500"
de,"1,213","1,543",Gesetzlich versichert,"1,455"
de,"1,675","2,215",Gesetzlich versichert,"1,650"
de,"1,708","2,128",Privat versichert,"1,715"
de,"1,764","2,264",Privat versichert,540
de,"1,918","2,495",Privat versichert,240
de,"2,033","2,685",Privat versichert,"2,130"
de,"2,081","2,650",Gesetzlich versichert,"1,440"
de,"2,081","2,650",Privat versichert,"1,440"
de,"2,084","2,766",Privat versichert,120
de,"2,260","2,815",Gesetzlich versichert,"2,085"
de,"2,603","3,374",Privat versichert,570
de,"2,683","3,539",Gesetzlich versichert,"1,900"
de,"2,736","3,593",Gesetzlich versichert,"1,590"
de,"277,258","8,987",Gesetzlich versichert,"1,740"
de,"2,155","2,868",Privat versichert,240
de,"2,449","3,229",Privat versichert,"2,970"
de,"379,290","5,654",Privat versichert,"1,080"
de,"374,014","6,547",Privat versichert,"1,550"
de,"383,342","7,568",Privat versichert,"1,470"
de,"360,262","6,896",Privat versichert,"1,560"
de,"356,146","13,648",Privat versichert,"1,305"
de,"371,519","3,779",Gesetzlich versichert,210
de,"365,015","9,990",Gesetzlich versichert,210
de,"346,479","7,962",Gesetzlich versichert,"1,200"
de,"366,056","9,858",Privat versichert,100
de,"424,739","10,213",Gesetzlich versichert,"2,640"
de,"443,609","13,220",Privat versichert,"2,640"
de,"449,755","14,284",Privat versichert,720
de,"453,096","14,425",Gesetzlich versichert,"2,235"
es,"78,499","28,583",HNA - Hermandad Arquitectos,210
ar,"4,116","8,479",WILLIAM HOPE SERVICIOS DE SALUD,510
ar,"4,116","8,479",ASOC. ESCLESIASTICA SAN PEDRO,510
ar,"4,116","8,479",UP UNION PERSONAL ACCORD SALUD,510
ar,"4,116","8,479",O.S.PA.CA.R.P. Obra Social de Patrones de Cabotaje de Ríos y Puertos,510
ar,"4,116","8,479",COMEI,540
br,"300,158","8,116",FUNCESP,160
br,"300,158","8,116",APAS - BAURU,160
br,"300,158","8,116",Porto Seguro Saúde,160
br,"53,150","62,415",GAMA Saúde,180
br,"124,727","68,113",Omint,"1,110"
de,59,32,Privat versichert,"2,205"
de,96,80,Privat versichert,"1,150"
de,218,216,Gesetzlich versichert,"2,370"
de,331,457,Privat versichert,480
de,398,584,Gesetzlich versichert,300
de,439,526,Privat versichert,"1,170"
de,705,975,Privat versichert,590
de,"1,367","1,750",Gesetzlich versichert,"1,350"
de,"1,691","2,228",Gesetzlich versichert,"3,200"
de,"1,707","2,142",Gesetzlich versichert,105
de,"2,124","2,727",Gesetzlich versichert,"1,980"
de,"2,170","2,792",Privat versichert,180
de,"2,484","3,262",Gesetzlich versichert,240
de,"2,714","3,634",Gesetzlich versichert,420
de,"234,622","11,423",Privat versichert,"1,730"
de,"268,325","12,641",Gesetzlich versichert,360
de,"268,325","12,641",Privat versichert,360
br,"413,047","1,587",Bradesco Saúde,330
br,"508,906","126,007",Eletrosul,270
br,"825,000","155,175",AMS Petrobrás,210
de,54,38,Privat versichert,"2,400"
de,203,263,Privat versichert,480
de,254,281,Gesetzlich versichert,"1,230"
de,401,590,Gesetzlich versichert,"1,740"
de,468,630,Privat versichert,"1,740"
de,638,812,Privat versichert,210
de,936,"1,175",Gesetzlich versichert,450
de,960,"1,301",Privat versichert,"2,160"
de,973,"1,293",Privat versichert,930
de,"384,598","8,989",Gesetzlich versichert,"1,260"
de,"382,327","4,207",Privat versichert,"1,800"
de,"399,134","4,806",Privat versichert,"1,350"
de,"337,973","5,650",Privat versichert,"1,380"
de,"337,973","5,650",Gesetzlich versichert,"1,380"
de,"362,589","6,042",Gesetzlich versichert,"1,560"
de,"398,747","3,789",Gesetzlich versichert,90
de,"383,301","3,772",Privat versichert,"1,380"
de,"349,187","7,945",Gesetzlich versichert,840
de,"387,395","8,051",Privat versichert,720
de,"1,557","2,081",Privat versichert,"2,220"
de,"1,587","2,050",Privat versichert,420
de,"1,948","2,562",Privat versichert,60
de,"2,036","2,631",Privat versichert,240
de,"2,730","3,544",Gesetzlich versichert,"2,130"
de,"142,975","10,033",Privat versichert,"2,115"
de,"158,297","7,868",Gesetzlich versichert,"1,200"
de,"190,322","10,899",Gesetzlich versichert,"1,560"
de,"230,330","9,920",Privat versichert,520
de,"230,330","9,920",Gesetzlich versichert,520
de,"241,791","10,420",Privat versichert,300
de,"363,790","10,938",Privat versichert,"1,620"
de,"422,116","12,054",Privat versichert,"2,040"
de,"422,259","10,858",Privat versichert,"1,770"
de,"422,259","10,858",Gesetzlich versichert,"1,770"
de,"423,082","12,687",Privat versichert,480
de,"185,400","10,236",Privat versichert,150
de,"185,400","10,236",Gesetzlich versichert,150
de,"307,687","10,317",Gesetzlich versichert,"1,500"
de,"402,995","10,328",Privat versichert,"2,100"
de,"334,710","10,785",Privat versichert,"1,500"
de,"142,953","11,679",Privat versichert,"1,620"
de,"370,182","13,102",Gesetzlich versichert,990
de,"370,647","10,566",Gesetzlich versichert,"2,700"
de,"394,214","3,963",Gesetzlich versichert,"2,700"
de,"336,880","5,785",Gesetzlich versichert,570
de,"396,079","3,877",Gesetzlich versichert,"3,570"
de,"381,878","4,760",Gesetzlich versichert,330
de,"376,774","9,211",Privat versichert,90
de,"373,331","11,624",Privat versichert,"3,000"
de,"368,245","5,428",Privat versichert,"3,000"
de,"398,310","7,584",Privat versichert,"1,440"
de,"408,878","9,425",Privat versichert,"2,760"
cl,"33,127",511,Consalud,"2,520"
de,398,583,Gesetzlich versichert,"1,050"
de,438,482,Gesetzlich versichert,210
de,482,689,Privat versichert,"1,170"
de,543,715,Privat versichert,"1,260"
de,838,"1,138",Privat versichert,270
de,"361,722","12,201",Privat versichert,"1,315"
de,"414,462","10,658",Privat versichert,"2,010"
de,"1,018","11,092",Gesetzlich versichert,360
de,"2,512","3,222",Privat versichert,"2,550"
de,"2,710","3,548",Gesetzlich versichert,40
de,"146,471","9,107",Gesetzlich versichert,100
mx,"300,267","121,487",GNP Grupo Nacional Provincial,750
mx,"300,267","121,487",Mediciplus,750
de,"386,094","4,902",Gesetzlich versichert,720
de,"399,594","4,842",Privat versichert,540
de,"203,110","9,744",Gesetzlich versichert,300
de,"181,115","11,397",Gesetzlich versichert,660
de,"225,744","13,836",Privat versichert,"1,680"
de,"326,693","14,556",Privat versichert,"2,205"
br,"433,672","125,576",Imas,"1,830"
br,"684,279","130,869",Saúde Abas,420
br,"86,654","147,066",AMHP-DF,390
de,126,131,Privat versichert,"4,200"
de,398,584,Privat versichert,300
br,"269,775","54,287",AASEFAZ,510
de,233,202,Privat versichert,"1,485"
de,962,"1,317",Gesetzlich versichert,30
de,724,993,Gesetzlich versichert,"1,185"
de,"1,122","1,487",Gesetzlich versichert,"1,260"
de,"2,601","3,462",Gesetzlich versichert,"1,380"
de,"234,622","11,423",Gesetzlich versichert,"1,730"
de,"361,484","5,479",Gesetzlich versichert,"3,220"
de,"366,584","6,604",Privat versichert,"2,040"
de,"341,147","12,005",Gesetzlich versichert,120
de,"399,061","13,362",Gesetzlich versichert,"1,440"
de,"365,775","5,662",Privat versichert,120
de,"383,062","5,543",Privat versichert,"1,200"
de,"1,102","1,485",Gesetzlich versichert,390
de,"1,520","2,060",Privat versichert,120
de,"350,708","7,948",Gesetzlich versichert,"1,980"
de,"248,228","11,800",Gesetzlich versichert,420
de,"351,756","8,671",Gesetzlich versichert,"1,740"
de,"343,731","4,499",Gesetzlich versichert,720
de,"375,824","4,141",Gesetzlich versichert,"2,340"
br,"508,285","24,068",Porto Seguro,820
co,"28,139","2,200",Medisanitas,"1,440"
de,438,482,Privat versichert,210
de,738,"1,028",Gesetzlich versichert,750
de,844,"1,239",Privat versichert,"1,125"
de,936,"1,174",Gesetzlich versichert,500
de,"1,059","1,398",Privat versichert,"1,470"
