country_code,specializations,specialization_type,has_pricing,min_2_bookable_services_with_prices,min_4_bookable_services_with_prices,count
br,otolaryngologist,medical,0,0,0,1
br,general surgeon / digestive system surgeon,medical,1,0,0,2
mx,bariatric surgeon / general surgeon,medical,0,1,1,1
br,cardiovascular surgeon,medical,1,1,1,2
br,cardiologist / internist,medical,1,1,0,1
mx,plastic surgeon / general surgeon,medical,0,0,0,1
mx,endodontist / dentist,medical,1,1,1,2
mx,family doctor / general practitioner,medical,1,1,1,2
mx,pediatric hematologist / pediatrician,medical,1,0,0,1
br,physical therapist,paramedical,0,0,0,3
br,"",,1,0,0,3
br,rheumatologist / internist,medical,1,1,1,1
br,psychiatrist / medical clinic specialist,medical,1,0,0,1
br,cardiologist / general practitioner / nutrologist,medical,0,0,0,1
br,pain management specialist / generalist,medical,1,1,1,1
br,mastologist / oncologist surgeon,medical,1,1,1,1
mx,allergist / immunologist / pediatrician,medical,0,0,0,2
br,homeopath / general practitioner,medical,1,0,0,1
br,general surgeon / nutrologist,medical,1,1,1,1
br,nutrologist / dermatologist,medical,1,1,0,1
mx,proctologist / general surgeon,medical,1,1,1,1
br,intensive medicine specialist,medical,1,1,0,1
br,gastroenterologist / hepatologist,medical,0,0,0,1
br,diagnostic radiologist,medical,1,0,0,1
mx,allergist / pediatrician,medical,1,0,0,1
br,endoscopist / gastroenterologist,medical,1,1,0,1
mx,audiologist,paramedical,0,1,1,1
mx,gynecologist / gynecologist,medical,0,0,0,1
br,general surgeon / urologist,medical,1,0,0,1
br,gynecologist / specialist in aesthetic medicine,medical,1,0,0,1
br,head and neck surgeon / otolaryngologist,medical,1,0,0,1
mx,endodontist / dentist,medical,0,0,0,1
mx,general practitioner / homeopath,medical,0,1,1,1
mx,bariatric surgeon / endoscopist / general surgeon,medical,1,0,0,1
br,homeopath,medical,1,1,0,1
mx,orthopaedic surgeon / orthopedist,medical,1,1,0,6
mx,psychologist,paramedical,1,1,0,58
br,cardiologist,medical,1,0,0,47
br,nutrologist,medical,1,1,0,7
mx,otorhinolaryngologist,medical,0,0,0,16
mx,urologist,medical,1,0,0,30
br,neurologist,medical,1,1,0,5
mx,educational psychologist,paramedical,0,1,0,1
br,dentist,paramedical,1,1,1,25
br,digestive system surgeon / general surgeon,medical,1,1,1,3
br,nephrologist,medical,1,0,0,18
br,psychologist / psychoanalyst,paramedical,1,1,0,6
br,neurosurgeon,medical,0,0,0,3
br,psychiatrist / general practitioner,medical,1,0,0,4
br,cardiologist / intensive medicine specialist,medical,1,0,0,1
mx,pediatrician,medical,1,1,0,11
mx,internist,medical,1,1,1,35
mx,nutrologist / nutritionist,medical,0,1,1,11
mx,rheumatologist / internist,medical,1,1,0,3
mx,gynecologist / urology gynecologist,medical,1,0,0,3
br,pediatric pulmonologist,medical,1,1,1,1
br,allergist / pediatric allergist / pediatrician,medical,1,0,0,1
br,gastroenterologist / medical clinic specialist,medical,1,1,1,1
mx,endodontist,medical,0,0,0,2
br,generalist,medical,0,0,0,3
mx,endocrinologist / internist,medical,0,0,0,2
br,plastic surgeon,medical,1,0,0,18
mx,dentist / periodontologist,medical,1,0,0,1
mx,pediatric  respiratory physician / pediatrician,medical,1,1,0,2
br,hematologist / oncologist,medical,1,0,0,1
br,gastroenterologist,medical,1,1,0,2
br,psychologist / psychopedagogue,paramedical,1,1,1,2
br,speech therapist,paramedical,0,0,0,1
mx,dentist / implantologist,medical,0,0,0,1
mx,allergist / pediatrician,medical,0,0,0,2
br,hepatologist / medical clinic specialist,medical,1,1,0,1
br,digestive system surgeon / coloproctologist / gastroenterologist,medical,1,0,0,1
br,general practitioner / neurologist,medical,1,1,0,1
br,psychoanalyst / psychologist,paramedical,1,0,0,4
mx,allergist / pediatrician / immunologist,medical,1,0,0,1
mx,cosmetic medicine specialist,medical,1,1,1,4
br,cardiologist / generalist,medical,1,1,1,1
mx,radiation oncologist,medical,0,0,0,1
mx,sports medicine specialist,paramedical,1,1,1,2
br,general surgeon / endoscopist,medical,0,0,0,1
mx,diabetologist,paramedical,0,1,1,1
mx,neurologist,medical,1,1,0,2
mx,angiologist / vascular surgeon,medical,1,0,0,3
br,psychologist / sexologist,paramedical,1,0,0,1
br,gastroenterologist / hepatologist,medical,1,0,0,1
mx,diabetologist / general practitioner,paramedical,0,0,0,1
br,generalist / general practitioner,medical,1,1,0,4
mx,pediatrician / neonatologist / general practitioner,medical,0,1,1,1
br,pediatric gastroenterologist / pediatrician,medical,1,1,0,1
mx,cardiovascular and thoracic surgeon,medical,1,0,0,2
br,neurosurgeon / neurophysiologist / neurologist,medical,1,1,1,1
br,nurse,paramedical,1,1,1,4
br,plastic surgeon / oral and maxillofacial surgeon,medical,1,1,0,1
br,dermatologist / general practitioner,medical,1,1,0,2
mx,maxillofacial surgeon / dentist,medical,1,1,1,2
br,dermatologist / general practitioner,medical,1,1,1,2
mx,periodontologist / dentist,medical,1,0,0,4
br,geriatrician / general practitioner,medical,1,0,0,1
mx,acupuncturist,medical,1,1,1,3
mx,general surgeon,medical,0,1,0,1
mx,general surgeon / endoscopist,medical,1,0,0,1
br,dentist / oral and maxillofacial surgeon,paramedical,1,1,1,1
mx,otorhinolaryngologist / general practitioner,medical,1,1,1,2
mx,endocrinologist,medical,0,0,0,1
mx,naturist,,0,1,1,1
mx,oncologist surgeon / complementary therapist,medical,1,0,0,1
br,traumatologist and orthopedist / pain management specialist,medical,1,1,1,2
br,pulmonologist / sleep doctor / general practitioner,medical,1,1,1,1
br,endocrinologist / pediatrician / general practitioner,medical,1,1,1,1
br,pulmonologist / general practitioner,medical,1,1,1,1
mx,angiologist / vascular surgeon / general practitioner,medical,1,0,0,1
br,nephrologist / pediatrician,medical,1,1,1,1
mx,sports medicine specialist,paramedical,1,1,0,1
mx,psychiatrist / general practitioner,medical,1,1,1,1
mx,podiatrist / podiatrist,paramedical,1,1,1,1
mx,allergist / immunologist / pediatrician,medical,1,0,0,2
mx,angiologist / vascular surgeon,medical,0,0,0,2
mx,plastic surgeon,medical,0,1,1,1
br,endocrinologist / medical clinic specialist / nutrologist,medical,1,1,1,1
br,digestive system surgeon,medical,1,1,1,2
br,pediatric gastroenterologist,medical,1,1,1,1
br,family doctor / general practitioner,medical,1,0,0,2
mx,anesthesiologist / pain management specialist,paramedical,1,1,0,1
mx,specialist in critical medicine and intensive care,paramedical,1,1,1,1
mx,diabetologist / integrated medicine specialist,paramedical,1,1,1,1
br,nephrologist / general practitioner,medical,1,0,0,3
br,pediatrician / pediatric neurologist,medical,1,0,0,1
br,general practitioner / emergency doctor,medical,1,1,1,1
br,plastic surgeon / general surgeon / craniomaxillofacial surgeon,medical,1,0,0,1
br,rheumatologist / acupuncturist,medical,1,1,1,1
br,generalist / cardiologist,medical,1,1,1,1
mx,pediatric dentist / dentist,medical,1,1,0,1
br,general practitioner / intensive medicine specialist,medical,1,1,1,1
br,pulmonologist / sleep doctor,medical,1,1,1,1
mx,orthopedist / orthopaedic surgeon / pediatric orthopedist,paramedical,0,0,0,1
mx,podiatrist / cosmetic medicine specialist,paramedical,0,1,1,1
mx,rheumatologist / internist,medical,1,1,1,1
mx,general surgeon / gastroenterologist / general practitioner,medical,0,0,0,1
br,general practitioner,medical,1,0,0,116
mx,dentist,medical,1,1,1,120
mx,gastroenterologist,medical,1,0,0,6
mx,nutrologist,medical,1,0,0,6
mx,orthopedist,paramedical,0,0,0,5
mx,general practitioner,medical,1,0,0,34
br,radiologist,medical,1,0,0,2
mx,pediatrician,medical,0,0,0,18
br,medical clinic specialist,medical,1,1,1,18
br,general practitioner / geriatrician,medical,1,1,1,1
mx,pediatrician / pediatric  respiratory physician,medical,0,1,1,1
br,rheumatologist,medical,1,0,0,14
br,medical clinic specialist / general practitioner,medical,1,1,1,2
br,psychiatrist / family doctor,medical,1,1,1,3
mx,physical medicine and rehabilitation specialist,paramedical,1,0,0,4
br,medical clinic specialist,medical,1,1,0,7
mx,rheumatologist,medical,1,1,0,2
mx,homeopath / general practitioner,medical,1,1,1,4
mx,pediatric endocrinologist / pediatrician,medical,1,0,0,4
br,mastologist / gynecologist,medical,1,0,0,4
br,urologist / general practitioner,medical,1,0,0,3
br,general practitioner / geriatrician,medical,1,0,0,1
br,pediatrician / pediatric gastroenterologist,medical,1,1,1,1
mx,ophthalmologist / general practitioner,medical,0,0,0,2
br,traumatologist and orthopedist / traffic doctor / pain management specialist,medical,1,1,0,1
br,cardiologist / nutrologist,medical,1,0,0,1
br,traumatologist and orthopedist,medical,0,1,1,1
br,hand surgeon,medical,1,0,0,1
mx,dentist / endodontist,medical,1,1,1,5
br,cardiologist / internist / general practitioner,medical,1,1,1,1
mx,endocrinologist,medical,1,1,0,1
br,neurologist,medical,0,0,0,2
br,dermatologist / specialist in aesthetic medicine / generalist,medical,1,1,0,1
br,gynecologist / nutrologist,medical,1,1,1,3
mx,complementary therapist,paramedical,1,1,1,3
br,otolaryngologist / sleep doctor,medical,1,1,0,2
br,general surgeon / oncologist surgeon,medical,1,1,1,1
mx,urologist,medical,0,1,1,4
br,pediatrician / acupuncturist,medical,1,0,0,1
mx,pain management specialist / anesthesiologist,medical,0,1,1,1
br,geneticist,medical,1,1,1,2
mx,neurologist / neurophysiologist,medical,0,1,1,1
br,diagnostic radiologist,medical,1,1,1,2
mx,chiropractor,paramedical,0,0,0,1
mx,clinical nutritionist / nutritionist,paramedical,1,1,1,2
br,pulmonologist / medical clinic specialist,medical,1,0,0,1
mx,hematologist,medical,1,1,1,3
br,anesthesiologist / generalist,medical,1,1,0,1
br,endoscopist / digestive system surgeon,medical,1,0,0,1
br,general surgeon / acupuncturist,medical,1,1,1,1
br,general practitioner / intensive medicine specialist / emergency doctor,medical,1,1,0,1
br,pediatrician / endocrinologist,medical,1,1,0,1
mx,pediatrician / neonatologist,medical,1,1,0,3
mx,neurologist / internist,medical,0,0,0,1
br,pediatrician / homeopath,medical,1,1,0,1
br,family doctor / nutrologist,medical,1,1,1,1
br,general surgeon,,1,1,1,1
br,allergist,medical,1,1,0,5
mx,angiologist / vascular surgeon,medical,0,1,1,1
mx,clinical nutritionist / specialist in obesity and thinness,paramedical,1,1,1,1
mx,dentist / maxillofacial surgeon,medical,0,1,1,1
mx,general practitioner / diabetologist,medical,1,1,1,1
br,expert doctor / occupational doctor / traffic doctor,medical,1,1,1,1
mx,general practitioner / family doctor,medical,1,1,1,1
br,pediatric surgeon / general surgeon,medical,1,0,0,1
mx,nutrologist / nutritionist,,1,1,1,1
br,family doctor / psychiatrist,medical,1,1,0,3
mx,pediatric  respiratory physician,medical,1,1,0,1
mx,orthodontist / dentist,medical,1,1,0,3
mx,sports medicine specialist,paramedical,0,0,0,1
mx,educational psychologist,paramedical,1,0,0,1
mx,clinical nutritionist,paramedical,0,0,0,1
br,gastroenterologist / endoscopist,medical,1,1,0,1
br,allergist / pediatrician,medical,1,0,0,1
br,dermatologist / generalist,medical,1,0,0,1
mx,pediatric ophthalmologist / ophthalmologist,medical,1,1,0,1
mx,psychiatrist,medical,0,1,0,1
mx,pediatrician,medical,1,1,1,47
br,psychoanalyst,paramedical,1,1,1,71
br,pulmonologist,medical,1,1,1,12
br,gynecologist,medical,0,0,0,10
br,generalist,medical,1,0,0,59
mx,psychiatrist,medical,1,1,1,20
mx,clinical nutritionist,paramedical,1,1,1,5
br,pediatric endocrinologist,medical,1,1,1,6
br,pediatric neurologist,medical,1,1,1,8
br,cardiovascular surgeon,medical,1,0,0,3
mx,family doctor,medical,0,1,0,2
br,coloproctologist,medical,1,1,0,3
mx,orthopedist / orthopaedic surgeon,paramedical,0,1,0,3
mx,hematologist,medical,0,0,0,3
br,medical clinic specialist / hepatologist,medical,1,1,1,1
mx,orthodontist / dentist,medical,1,0,0,15
mx,bariatric surgeon / general surgeon,medical,0,0,0,3
br,oral and maxillofacial surgeon,paramedical,1,0,0,8
br,pediatrician / intensive medicine specialist,medical,1,0,0,2
mx,psychiatrist,medical,0,0,0,9
br,general practitioner,medical,1,1,0,33
mx,pediatric gastroenterologist / pediatrician,medical,0,1,1,2
mx,nurse,medical,0,0,0,1
mx,endocrinologist,medical,1,0,0,5
mx,nutrologist,medical,1,1,0,8
mx,rheumatologist,medical,1,0,0,1
br,pediatric surgeon,medical,1,1,1,2
br,pulmonologist / general practitioner / medical clinic specialist,medical,1,1,1,1
mx,allergist / immunologist,medical,1,1,1,2
mx,dentist / endodontist,medical,0,0,0,1
mx,educational psychologist,paramedical,1,1,0,1
br,dermatologist,,1,0,0,1
br,pediatrician / generalist,medical,1,0,0,2
mx,urologist / general surgeon,medical,1,0,0,1
mx,cardiologist,medical,0,1,1,3
mx,family doctor / general practitioner,medical,1,0,0,1
mx,pediatric surgeon / general practitioner,medical,0,0,0,1
mx,internist / general practitioner,medical,1,1,0,1
br,general practitioner / neurosurgeon,medical,1,1,1,1
mx,pediatrician / neonatologist,medical,1,0,0,5
mx,general surgeon / endoscopist,medical,0,0,0,1
br,orofacial harmonization specialist,paramedical,0,0,0,1
br,pediatric neurologist,medical,1,1,0,2
mx,gastroenterologist,medical,1,1,0,1
br,pediatric infectologist,medical,1,1,1,1
br,psychologist / nutritionist,paramedical,1,1,1,1
mx,general practitioner / clinical nutritionist,medical,1,1,1,1
br,pediatrician / pediatric pulmonologist,medical,1,0,0,1
mx,pediatrician / allergist / immunologist,medical,1,0,0,1
mx,bariatric surgeon / general surgeon / specialist in obesity and thinness,medical,1,1,1,1
mx,pediatric nephrologist / pediatrician,medical,0,1,0,2
mx,orthopedist / orthopaedic surgeon,paramedical,0,1,1,4
br,pediatric neurologist / pediatrician / neurophysiologist,medical,1,1,0,1
br,cardiologist / nutrologist,medical,1,1,0,1
br,psychiatrist / pain management specialist,medical,1,1,0,1
mx,anesthesiologist / pain management specialist,paramedical,1,1,1,1
br,otolaryngologist / sleep doctor,medical,1,0,0,1
mx,psychologist / psychoanalyst,paramedical,1,1,0,1
mx,emergency medicine specialist,paramedical,1,0,0,1
br,dermatologist / endocrinologist,medical,1,0,0,1
mx,anesthesiologist,paramedical,0,0,0,1
br,neurologist / neurosurgeon,medical,1,1,1,1
mx,neurologist / neurophysiologist / general practitioner,medical,1,1,0,1
mx,nephrologist / internist,medical,0,1,0,1
mx,pediatric neurologist / pediatrician,medical,1,0,0,1
mx,orthodontist,medical,1,0,0,1
br,rheumatologist,medical,1,1,0,2
br,pediatric endocrinologist / sports medicine specialist / pediatrician,medical,1,1,1,1
