country_code,specializations,specialization_type,has_pricing,min_2_bookable_services_with_prices,min_4_bookable_services_with_prices,count
mx,periodontologist / dentist,medical,1,1,1,3
mx,cosmetic medicine specialist,medical,0,1,0,1
mx,endodontist,medical,1,0,0,1
mx,urologist / general surgeon,medical,1,1,1,1
br,endocrinologist,medical,0,0,0,4
br,nutrologist / family doctor,medical,1,1,1,2
br,cardiovascular surgeon / general surgeon,medical,1,1,0,1
br,infectologist / family doctor,medical,1,0,0,1
br,family doctor / generalist,medical,1,1,0,1
mx,internist / specialist in obesity and thinness,medical,1,1,1,1
br,radiologist / psychiatrist,medical,1,1,1,1
mx,general practitioner / homeopath,medical,1,1,1,1
br,oncologist,medical,0,0,0,5
mx,oncologist / internist,medical,1,0,0,2
br,ultrasound specialist,medical,1,1,1,1
mx,allergist / immunologist / general practitioner,medical,1,0,0,1
br,vascular surgeon,,1,0,0,1
mx,orthopaedic surgeon / orthopedist / general practitioner,medical,1,0,0,1
br,pediatrician / nutrologist,medical,1,1,1,1
br,cardiologist / pediatrician,medical,1,0,0,1
br,family doctor,,1,1,1,1
mx,infectologist / internist,medical,0,1,1,1
mx,infectologist / internist / general practitioner,medical,1,1,1,1
mx,pediatrician / pediatric gastroenterologist,medical,1,1,1,1
br,psychologist / psychoanalyst / sexologist,paramedical,1,1,1,1
mx,geriatrician / general practitioner,medical,1,1,0,2
br,psychiatrist / family doctor / general practitioner,medical,1,1,0,1
mx,urologist / general surgeon,medical,0,1,0,1
br,hematologist / general practitioner / medical clinic specialist,medical,1,0,0,1
br,angiologist,medical,1,1,1,2
br,acupuncturist / general practitioner,medical,1,0,0,1
mx,general practitioner,,0,1,1,1
mx,orthodontist / dentist / physiotherapist,medical,1,1,1,1
mx,pediatric oncologist / pediatrician / oncologist,medical,0,0,0,1
br,nutrologist / endoscopist,medical,1,0,0,1
mx,orthopaedic surgeon / orthopedist,medical,0,0,0,14
mx,orthopedist / orthopaedic surgeon,paramedical,1,0,0,75
mx,cardiologist,medical,1,0,0,15
br,nutritionist,paramedical,1,1,1,34
mx,dermatologist,medical,0,0,0,9
mx,oncologist surgeon / general surgeon,medical,1,0,0,9
mx,general surgeon,medical,1,0,0,53
br,human reproduction specialist / gynecologist,medical,1,0,0,4
mx,physical medicine and rehabilitation specialist,paramedical,0,1,1,2
br,homeopath,medical,1,0,0,5
mx,physiotherapist,paramedical,1,1,1,41
br,psychologist,paramedical,0,0,0,16
br,orthodontist / dentist,paramedical,1,0,0,1
mx,general practitioner,medical,0,1,1,31
mx,anesthesiologist / general practitioner,paramedical,1,1,1,1
mx,ophthalmologist,medical,1,1,1,20
mx,gynecologist / gynecologist,medical,1,1,0,1
br,cardiologist / internist,medical,1,0,0,2
br,vascular surgeon,medical,1,1,0,1
br,pediatrician,medical,1,0,0,40
mx,nutritionist / nutrologist,paramedical,0,1,1,8
mx,acupuncturist / general practitioner,medical,1,1,1,1
br,nutrologist / oncologist surgeon,medical,1,0,0,1
br,vascular surgeon / general surgeon,medical,1,0,0,1
mx,neurologist / internist,medical,1,1,1,2
br,traumatologist and orthopedist,medical,1,1,0,17
br,complementary therapist / psychoanalyst,paramedical,1,1,1,4
mx,clinical nutritionist / general practitioner,paramedical,1,1,1,1
br,speech therapist,paramedical,0,1,0,1
mx,radiologist,medical,1,1,1,8
br,cardiologist / general practitioner / medical clinic specialist,medical,1,1,1,1
br,urologist,medical,1,1,1,19
mx,geriatrician,medical,1,1,1,9
mx,family doctor,medical,0,1,1,5
br,pediatrician / pediatric rheumatologist,medical,1,1,1,1
br,otolaryngologist,medical,1,1,0,4
mx,pain management specialist / anesthesiologist,medical,1,1,0,1
mx,geriatrician,medical,0,1,0,1
mx,rheumatologist / internist,medical,0,0,0,1
